iter	Passed	Remaining
901	2631	285
902	2634	282
903	2636	280
904	2639	277
905	2641	274
906	2643	271
907	2647	268
908	2650	265
909	2653	262
910	2655	259
911	2658	256
912	2661	253
913	2665	250
914	2668	247
915	2671	245
916	2674	242
917	2677	239
918	2680	236
919	2683	233
920	2686	230
921	2694	227
922	2716	226
923	2719	223
924	2722	220
925	2725	217
926	2728	214
927	2732	211
928	2734	208
929	2737	206
930	2740	203
931	2743	200
932	2750	197
933	2754	194
934	2758	191
935	2760	188
936	2763	185
937	2766	182
938	2769	179
939	2771	176
940	2773	173
941	2775	170
942	2778	167
943	2780	164
944	2782	161
945	2784	158
946	2786	155
947	2789	152
948	2791	150
949	2793	147
950	2796	144
951	2798	141
952	2800	138
953	2803	135
954	2805	132
955	2808	129
956	2811	126
957	2814	123
958	2817	120
959	2819	117
960	2822	114
961	2825	111
962	2829	108
963	2832	105
964	2835	102
965	2838	99
966	2840	96
967	2844	94
968	2847	91
969	2850	88
970	2853	85
971	2856	82
972	2859	79
973	2862	76
974	2865	73
975	2868	70
976	2872	67
977	2876	64
978	2897	62
979	2909	59
980	2912	56
981	2914	53
982	2918	50
983	2920	47
984	2924	44
985	2928	41
986	2932	38
987	2937	35
988	2941	32
989	2943	29
990	2946	26
991	2948	23
992	2951	20
993	2954	17
994	2956	14
995	2958	11
996	2961	8
997	2963	5
998	2965	2
999	2968	0
